item,name,category,rarity,stack,unit_price,unit_matcost,ratio_pct,leveling
22448,Small Prismatic Shard,INTERMEDIATE,TRAINER,20,1,0,0,1
22448,Small Prismatic Shard,INTERMEDIATE,TRAINER,3,1,0,0,1
22448,Small Prismatic Shard,INTERMEDIATE,TRAINER,7,1,0,0,1
3470,Rough Grinding Stone,INTERMEDIATE,TRAINER,4,18,24,75,1
3470,Rough Grinding Stone,INTERMEDIATE,TRAINER,1,17,24,70,1
10053,Simple Black Dress,GEAR,TRAINER,1,12935,15019,86,1
10053,Simple Black Dress,GEAR,TRAINER,1,12805,15019,85,1
10053,Simple Black Dress,GEAR,TRAINER,1,12935,15019,86,1
10053,Simple Black Dress,GEAR,TRAINER,1,12805,15019,85,1
10053,Simple Black Dress,GEAR,TRAINER,1,12935,15019,86,1
10053,Simple Black Dress,GEAR,TRAINER,1,12805,15019,85,1
10053,Simple Black Dress,GEAR,TRAINER,1,12935,15019,86,1
10053,Simple Black Dress,GEAR,TRAINER,1,12805,15019,85,1
10053,Simple Black Dress,GEAR,TRAINER,1,12935,15019,86,1
10053,Simple Black Dress,GEAR,TRAINER,1,12805,15019,85,1
10053,Simple Black Dress,GEAR,TRAINER,1,12935,15019,86,1
10053,Simple Black Dress,GEAR,TRAINER,1,12805,15019,85,1
10053,Simple Black Dress,GEAR,TRAINER,1,12935,15019,86,1
10053,Simple Black Dress,GEAR,TRAINER,1,12805,15019,85,1
118,Minor Healing Potion,ELIXIR_POT,UNSOURCED,5,76,85,89,1
8069,Crafted Solid Shot,AMMO,TRAINER,1000,1,2,50,1
8069,Crafted Solid Shot,AMMO,TRAINER,1000,1,2,50,1
8069,Crafted Solid Shot,AMMO,TRAINER,200,1,2,50,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,208,254,81,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,203,254,79,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,200,254,78,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,208,254,81,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,203,254,79,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,200,254,78,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,208,254,81,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,203,254,79,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,200,254,78,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,208,254,81,1
2580,Reinforced Linen Cape,GEAR,TRAINER,1,203,254,79,1
22448,Small Prismatic Shard,INTERMEDIATE,TRAINER,20,1,0,0,1
22448,Small Prismatic Shard,INTERMEDIATE,TRAINER,4,1,0,0,1
22448,Small Prismatic Shard,INTERMEDIATE,TRAINER,20,1,0,0,1
